Date,HDFCBANK.NS,JINDALSTEL.NS,JUBLFOOD.NS,SUNPHARMA.NS,TCS.NS
2018-02-15,439.08197021484375,261.65216064453125,197.3170928955078,533.247802734375,1201.41796875
2018-02-16,438.3119812011719,247.9951629638672,191.40806579589844,532.7845458984375,1204.3740234375
2018-02-19,438.2186584472656,246.5160675048828,195.54678344726562,519.95703125,1200.4940185546875
2018-02-20,434.7189025878906,248.4882049560547,195.8753662109375,518.1972045898438,1209.1790771484375
2018-02-21,433.36566162109375,243.85369873046875,195.19863891601562,486.9387512207031,1249.235107421875
2018-02-22,432.3857116699219,246.7625732421875,193.6883087158203,501.4798583984375,1252.4783935546875
2018-02-23,438.7669982910156,261.3070373535156,196.4736328125,527.5980834960938,1262.990478515625
2018-02-26,445.9998474121094,263.7229309082031,196.2088165283203,514.9093017578125,1244.882568359375
2018-02-27,443.8999938964844,260.3702392578125,199.9111785888672,504.5824279785156,1249.255615234375
2018-02-28,439.6185607910156,250.85475158691406,199.48452758789062,495.83013916015625,1246.2579345703125
2018-03-01,437.3204040527344,245.38209533691406,196.72372436523438,495.87646484375,1247.345947265625
2018-03-05,436.2938232421875,234.73260498046875,195.91461181640625,508.0556335449219,1275.3302001953125
2018-03-06,430.76416015625,230.3939208984375,195.09568786621094,492.495849609375,1249.440185546875
2018-03-07,427.5793762207031,228.61900329589844,194.01686096191406,486.105224609375,1243.136962890625
2018-03-08,432.3040466308594,231.42929077148438,197.17486572265625,476.61187744140625,1233.487060546875
2018-03-09,431.8840637207031,219.15280151367188,202.0638885498047,469.3876647949219,1245.8675537109375
2018-03-12,435.6637878417969,227.18919372558594,204.39317321777344,474.80584716796875,1253.2791748046875
2018-03-13,434.03057861328125,226.6961669921875,202.04428100585938,484.669677734375,1185.3829345703125
2018-03-14,435.022216796875,227.0413055419922,203.89300537109375,481.705810546875,1185.423828125
2018-03-15,438.8253173828125,227.4850311279297,210.57679748535156,478.3252868652344,1178.361328125
2018-03-16,432.3390197753906,223.04774475097656,207.10003662109375,465.9145202636719,1160.2939453125
2018-03-19,430.9974670410156,217.87088012695312,207.24717712402344,460.9131774902344,1162.470458984375
2018-03-20,429.1893005371094,230.29531860351562,208.0955047607422,471.1936950683594,1176.3701171875
2018-03-21,433.71563720703125,227.38644409179688,216.48583984375,467.25750732421875,1173.0439453125
2018-03-22,435.780517578125,221.76585388183594,223.12059020996094,470.86956787109375,1162.6142578125
2018-03-23,429.6676025390625,210.77125549316406,223.3216552734375,465.3125,1157.1939697265625
2018-03-26,441.7767333984375,213.9266357421875,229.8877716064453,466.0534362792969,1156.7215576171875
2018-03-27,441.57843017578125,226.54827880859375,229.5984649658203,467.813232421875,1169.3277587890625
2018-03-28,440.0618591308594,216.04669189453125,228.1077423095703,458.5513916015625,1169.9229736328125
2018-04-02,450.5845642089844,221.86447143554688,231.074462890625,470.3601379394531,1194.765625
2018-04-03,447.0148010253906,226.20314025878906,228.4313507080078,472.3514709472656,1195.4227294921875
2018-04-04,439.3968811035156,216.5397186279297,226.48455810546875,465.173583984375,1195.2789306640625
2018-04-05,445.381591796875,232.612548828125,229.0394287109375,470.0823669433594,1214.5987548828125
2018-04-06,448.7646789550781,236.70472717285156,238.3565673828125,474.7594909667969,1211.457763671875
2018-04-09,452.4161071777344,239.51499938964844,240.59268188476562,473.1387023925781,1200.6170654296875
2018-04-10,448.1697082519531,241.4871368408203,238.18492126464844,470.7306213378906,1206.2427978515625
2018-04-11,447.70306396484375,244.3467254638672,243.84872436523438,482.9562072753906,1237.676025390625
2018-04-12,450.0245666503906,240.35316467285156,242.9807891845703,477.81591796875,1289.044921875
2018-04-13,449.137939453125,247.65003967285156,244.57449340820312,475.1300048828125,1294.8138427734375
2018-04-16,453.1277160644531,250.65753173828125,243.63296508789062,481.05755615234375,1308.9188232421875
2018-04-17,454.6210021972656,248.34030151367188,246.6340789794922,474.34271240234375,1300.27490234375
2018-04-18,450.91119384765625,246.41744995117188,243.90267944335938,474.203857421875,1297.19580078125
2018-04-19,452.4043884277344,256.426025390625,243.08375549316406,471.61053466796875,1310.35595703125
2018-04-20,456.3475036621094,248.19236755371094,239.87672424316406,467.9983825683594,1397.1204833984375
2018-04-23,451.64617919921875,246.41744995117188,241.3184051513672,476.2877502441406,1399.666259765625
2018-04-24,451.47119140625,249.8686981201172,240.1219024658203,479.57568359375,1390.221923828125
2018-04-25,448.1463928222656,245.0369873046875,241.0437774658203,476.1024475097656,1424.9605712890625
2018-04-26,450.3628845214844,248.09378051757812,247.71778869628906,474.7594909667969,1453.2933349609375
2018-04-27,448.7646789550781,250.06588745117188,250.22361755371094,485.4569396972656,1417.4459228515625
2018-04-30,453.64105224609375,248.58682250976562,249.1349639892578,489.3932189941406,1450.3572998046875
2018-05-02,459.5206298828125,235.1270294189453,250.0716094970703,477.1676025390625,1437.073486328125
2018-05-03,459.1473388671875,236.9512481689453,249.6989288330078,496.4321594238281,1429.7237548828125
2018-05-04,463.9537048339844,237.29635620117188,251.5917510986328,479.714599609375,1429.2720947265625
2018-05-07,461.36383056640625,252.72825622558594,255.50009155273438,475.7782897949219,1404.7164306640625
2018-05-08,458.9490051269531,254.01014709472656,251.10629272460938,473.6944580078125,1413.0318603515625
2018-05-09,461.5971984863281,258.1515808105469,250.5913848876953,468.78564453125,1432.78271484375
2018-05-10,464.9336242675781,241.28993225097656,242.69638061523438,460.4963684082031,1417.15869140625
2018-05-11,469.3783264160156,252.82687377929688,243.01510620117188,437.20294189453125,1419.4991455078125
